epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,5499.45,0.72097,0.51169,1.09668,0.9431,0.87237,0.9301,0.77366,0.70391,0.47189,1.19605,0.005479,0.005479,0.005479
139,5538.8,0.71554,0.50446,1.09855,0.91107,0.8853,0.92823,0.77749,0.69158,0.48822,1.19309,0.005446,0.005446,0.005446
140,5578.16,0.71517,0.51227,1.10037,0.93057,0.88691,0.93023,0.77695,0.68885,0.47334,1.18955,0.005413,0.005413,0.005413
141,5617.52,0.70561,0.51444,1.09674,0.93539,0.88045,0.92992,0.78055,0.68236,0.48471,1.19151,0.00538,0.00538,0.00538
142,5656.88,0.71033,0.50022,1.09471,0.91887,0.90549,0.93344,0.77814,0.69553,0.47489,1.20027,0.005347,0.005347,0.005347
143,5696.24,0.71119,0.51556,1.10093,0.93163,0.89149,0.9352,0.78308,0.69741,0.4782,1.19125,0.005314,0.005314,0.005314
144,5735.61,0.70115,0.50211,1.08734,0.92251,0.88934,0.93349,0.77705,0.71398,0.48528,1.20089,0.005281,0.005281,0.005281
145,5774.92,0.69983,0.49563,1.08676,0.92521,0.88934,0.92775,0.77323,0.70244,0.4811,1.19062,0.005248,0.005248,0.005248
146,5814.3,0.70461,0.49355,1.08838,0.92683,0.90035,0.9316,0.78183,0.70043,0.47948,1.19584,0.005215,0.005215,0.005215
147,5853.65,0.69917,0.4966,1.08423,0.93929,0.88737,0.93549,0.78482,0.69357,0.4598,1.1902,0.005182,0.005182,0.005182
148,5892.97,0.68893,0.49317,1.08072,0.94125,0.87993,0.93219,0.78238,0.69031,0.48054,1.18718,0.005149,0.005149,0.005149
149,5932.33,0.69149,0.48549,1.08107,0.91607,0.88168,0.92747,0.78205,0.67941,0.49552,1.18634,0.005116,0.005116,0.005116
150,5971.69,0.71068,0.50244,1.08929,0.93864,0.88966,0.93252,0.78625,0.68603,0.48374,1.19247,0.005083,0.005083,0.005083
151,6011.08,0.70004,0.49325,1.0818,0.93168,0.89229,0.93122,0.7802,0.70134,0.47865,1.2041,0.00505,0.00505,0.00505
152,6050.44,0.70008,0.49539,1.08434,0.92473,0.86026,0.91872,0.76804,0.70586,0.51534,1.20906,0.005017,0.005017,0.005017
153,6089.79,0.68203,0.48618,1.07307,0.90529,0.86479,0.916,0.76448,0.70964,0.52074,1.20902,0.004984,0.004984,0.004984
154,6129.12,0.67703,0.47269,1.06997,0.91819,0.86123,0.91924,0.77356,0.68973,0.49822,1.19662,0.004951,0.004951,0.004951
155,6168.44,0.67729,0.48451,1.07431,0.90303,0.87237,0.92126,0.77378,0.69106,0.50701,1.20252,0.004918,0.004918,0.004918
156,6207.83,0.69458,0.49271,1.08554,0.93854,0.84491,0.92127,0.77053,0.69815,0.50308,1.20434,0.004885,0.004885,0.004885
157,6247.16,0.67628,0.4829,1.08086,0.92259,0.86268,0.92507,0.77653,0.70053,0.50158,1.207,0.004852,0.004852,0.004852
158,6286.53,0.67738,0.48609,1.07434,0.91869,0.85785,0.91823,0.76801,0.70837,0.52417,1.21001,0.004819,0.004819,0.004819
159,6325.91,0.68019,0.49434,1.07335,0.90057,0.87066,0.92425,0.77409,0.71295,0.52149,1.21379,0.004786,0.004786,0.004786
160,6365.24,0.67129,0.47674,1.07416,0.9265,0.87568,0.92969,0.7762,0.70505,0.50159,1.20553,0.004753,0.004753,0.004753
161,6404.6,0.66688,0.47242,1.07123,0.9238,0.90307,0.93409,0.7792,0.70666,0.48344,1.20333,0.00472,0.00472,0.00472
162,6443.96,0.66689,0.47931,1.07167,0.92071,0.89338,0.93091,0.7854,0.69351,0.49358,1.19881,0.004687,0.004687,0.004687
163,6483.32,0.66448,0.4654,1.06241,0.92453,0.86089,0.92331,0.77485,0.69924,0.5245,1.20131,0.004654,0.004654,0.004654
164,6522.68,0.66132,0.47649,1.06951,0.90941,0.86765,0.92373,0.77365,0.69623,0.52163,1.20204,0.004621,0.004621,0.004621
165,6562.06,0.66121,0.46308,1.06401,0.91809,0.84202,0.91142,0.76201,0.7097,0.55752,1.21596,0.004588,0.004588,0.004588
166,6601.37,0.65709,0.46481,1.06463,0.90941,0.83764,0.9078,0.75492,0.71967,0.57691,1.22364,0.004555,0.004555,0.004555
167,6640.74,0.66736,0.48375,1.06756,0.90808,0.8459,0.91228,0.75873,0.72479,0.55275,1.23166,0.004522,0.004522,0.004522
168,6680.08,0.66396,0.47028,1.0697,0.89352,0.86672,0.91821,0.76235,0.71941,0.52784,1.2236,0.004489,0.004489,0.004489
169,6719.47,0.66309,0.469,1.06476,0.90383,0.84733,0.90893,0.75413,0.71886,0.55381,1.22933,0.004456,0.004456,0.004456
